,DATE,TIME,STADIUM,CLASS,ATTENDANCE,HOME TEAM,HOME TEAM GOALS,AWAY TEAM,AWAY TEAM GOALS,HOME POSSESSIONS,AWAY POSSESSIONS,HOME SHOTS,AWAY SHOTS,HOME ON(SUBS),AWAY ON(SUBS),HOME OFF(SUBS),AWAY OFF(SUBS),HOME BLOCKED SHOTS,AWAY BLOCKED SHOTS,HOME PASSES,AWAY PASSES,HOME CHANCES,AWAY CHANCES,HOME CORNERS,AWAY CORNERS,HOME OFFSIDES,AWAY OFFSIDES,HOME TACKLES,AWAY TACKLES,HOME DUELS WON,AWAY DUELS WON,HOME SAVES,AWAY SAVES,HOME FOULS,AWAY FOULS,HOME YELLOW CARDS,AWAY YELLOW CARDS,HOME RED CARDS,AWAY RED CARDS,YEAR,TOTAL GOALS,match_results
32,2023-05-07,4:30pm,"St James' Park, Newcastle",a,50267.0,4,0,2,2,54.3,45.7,12,10,5,6,4,2,3,2,79.7,79.2,2,2,9,4,0,1,50.0,78.3,58.6,41.4,5,5,16,12,2,1,0,0,2023,2,Away win
33,2023-05-07,7:00pm,London Stadium,h,62477.0,14,1,3,0,34.6,65.4,15,19,4,4,5,12,6,3,76.2,86.5,2,1,5,6,1,1,41.2,50.0,53.1,46.9,4,3,4,9,0,2,0,0,2023,1,Home win
34,2023-05-06,3:00pm,Vitality Stadium,a,10357.0,15,1,12,3,34.0,66.0,10,11,4,5,4,5,2,1,75.4,88.2,1,2,7,7,1,0,56.3,91.7,50.0,50.0,2,3,9,11,1,3,0,0,2023,4,Away win
35,2023-05-06,3:00pm,Etihad Stadium,h,53406.0,1,2,19,1,80.9,19.1,18,4,6,2,10,1,2,1,91.1,59.7,2,0,10,1,4,3,71.4,50.0,52.0,48.0,1,4,3,16,0,3,0,0,2023,3,Home win
36,2023-05-06,3:00pm,Tottenham Hotspur Stadium,h,61093.0,8,1,11,0,57.5,42.5,8,7,3,2,3,3,2,2,84.0,75.4,3,0,8,4,1,0,46.2,73.3,63.3,36.7,2,2,15,14,3,5,0,0,2023,1,Home win
37,2023-05-06,3:00pm,Molineux,h,31641.0,13,1,7,0,38.0,62.0,6,16,2,3,2,6,2,7,73.5,85.9,1,2,5,6,3,2,69.2,70.0,32.1,67.9,3,1,20,9,3,3,0,0,2023,1,Home win
38,2023-05-06,5:30pm,Anfield,h,52838.0,5,1,9,0,53.9,46.1,15,5,5,1,6,3,4,1,81.5,74.8,2,0,7,3,1,2,55.6,54.5,50.0,50.0,2,4,19,10,4,2,0,0,2023,1,Home win
39,2023-05-04,8:00pm,Amex Stadium,h,31577.0,6,1,3,0,59.6,40.4,22,16,6,5,11,6,5,5,86.3,75.6,0,2,8,6,0,2,53.3,65.0,63.2,36.8,5,5,10,14,4,4,0,0,2023,1,Home win
40,2023-04-30,2:00pm,Vitality Stadium,h,10434.0,15,4,19,1,42.1,57.9,12,15,7,6,2,7,3,2,73.0,80.4,2,1,2,6,2,1,50.0,42.1,34.3,65.7,5,3,12,14,1,0,0,0,2023,5,Home win
41,2023-04-30,2:00pm,Craven Cottage,a,24498.0,10,1,1,2,37.4,62.6,4,12,1,9,1,3,2,0,81.3,87.0,1,1,2,5,3,1,63.6,71.4,46.9,53.1,7,0,9,10,1,3,0,0,2023,3,Away win
42,2023-04-30,2:00pm,Old Trafford,h,73592.0,3,1,7,0,57.1,42.9,14,7,6,1,6,2,2,4,84.9,78.1,1,0,1,4,7,3,78.6,46.7,50.0,50.0,1,5,16,7,2,0,0,0,2023,1,Home win
43,2023-04-30,2:00pm,"St James' Park, Newcastle",h,52234.0,4,3,20,1,63.4,36.6,22,4,5,3,9,1,8,0,81.9,69.8,3,1,11,2,1,2,41.2,69.6,75.0,25.0,2,3,7,10,1,4,0,0,2023,4,Home win
44,2023-04-30,4:30pm,Anfield,h,53275.0,5,4,8,3,67.6,32.4,12,10,4,7,4,3,4,0,88.3,73.7,2,4,5,2,0,5,68.8,62.5,74.1,25.9,3,0,12,6,3,2,0,0,2023,7,Home win
45,2023-04-29,12:30p,Selhurst Park,h,25148.0,11,4,14,3,59.9,40.1,16,8,6,4,4,3,6,1,78.7,65.6,0,1,8,5,1,1,61.9,65.2,57.4,42.6,1,2,9,17,1,2,0,0,2023,7,Home win
46,2023-04-29,3:00pm,Gtech Community Stadium,h,17080.0,9,2,16,1,68.9,31.1,14,5,8,3,3,1,3,1,84.7,68.2,0,1,6,0,1,1,55.6,61.9,48.9,51.1,2,6,6,13,1,2,0,0,2023,3,Home win
47,2023-04-29,3:00pm,Amex Stadium,h,31584.0,6,6,13,0,57.2,42.8,22,10,8,2,7,5,7,3,88.2,81.4,4,0,2,5,2,0,60.0,56.3,90.0,10.0,2,2,14,11,1,1,0,0,2023,6,Home win
48,2023-04-27,7:45pm,Goodison Park,h,39248.0,17,1,4,4,39.6,60.4,13,15,5,8,5,3,3,4,65.3,74.8,0,1,3,14,3,1,50.0,50.0,55.0,45.0,3,4,8,6,2,1,0,0,2023,5,Away win
49,2023-04-27,7:45pm,St. Mary's Stadium,a,30414.0,20,0,15,1,56.5,43.5,11,16,2,2,6,4,3,10,82.0,78.4,0,0,6,4,4,2,78.9,57.1,45.5,54.5,1,2,9,11,0,3,0,0,2023,1,Away win
50,2023-04-27,8:15pm,Tottenham Hotspur Stadium,d,61586.0,8,2,3,2,39.9,60.1,18,17,7,8,7,5,4,4,81.4,86.3,4,3,6,8,2,3,68.4,81.3,52.2,47.8,5,5,8,7,1,2,0,0,2023,4,Draw
51,2023-04-26,7:30pm,The City Ground,h,28808.0,16,3,6,1,24.8,75.2,12,17,5,7,5,6,2,4,66.8,86.5,1,2,2,7,1,2,61.1,64.3,47.4,52.6,6,3,7,8,2,0,0,0,2023,4,Home win
52,2023-04-26,7:45pm,Stamford Bridge,a,39929.0,12,0,9,2,72.9,27.1,15,7,4,1,8,5,3,1,88.2,65.8,1,0,5,2,0,2,50.0,46.2,55.9,44.1,0,4,5,13,1,2,0,0,2023,2,Away win
53,2023-04-26,7:45pm,London Stadium,a,62473.0,14,1,5,2,27.4,72.6,7,20,2,4,4,9,1,7,69.8,87.4,0,3,3,6,1,1,84.6,55.0,36.4,63.6,2,1,6,8,0,0,0,0,2023,3,Away win
54,2023-04-26,8:00pm,Etihad Stadium,h,53482.0,1,4,2,1,51.9,48.1,14,8,9,2,3,3,2,3,85.1,84.7,4,0,1,3,0,1,72.7,40.0,55.6,44.4,1,5,13,13,3,1,0,0,2023,5,Home win
55,2023-04-25,7:30pm,Molineux,h,30792.0,13,2,11,0,41.2,58.8,9,14,3,4,4,4,2,6,73.8,81.6,0,0,6,11,2,1,38.1,54.5,55.9,44.1,4,2,13,14,5,4,0,0,2023,2,Home win
56,2023-04-25,7:45pm,Villa Park,h,41046.0,7,1,10,0,51.8,48.2,14,1,3,0,4,1,7,0,83.7,81.3,0,0,8,2,0,5,63.6,38.1,65.2,34.8,0,2,6,18,3,2,0,0,2023,1,Home win
